"transcript_id","q_value",".transcript_raw","transcript","qvalue","ensembl_gene_id","gene_name"
"ENST00000627305.2",3.67e-10,"ENST00000627305.2","ENST00000627305",3.67e-10,"ENSG00000155368","DBI"
"ENST00000356769.7",3.72e-10,"ENST00000356769.7","ENST00000356769",3.72e-10,"ENSG00000196531","NACA"
"ENST00000449470.6",3.73e-10,"ENST00000449470.6","ENST00000449470",3.73e-10,"ENSG00000163682","RPL9"
"ENST00000553677.1",3.78e-10,"ENST00000553677.1","ENST00000553677",3.78e-10,"ENSG00000100567","PSMA3"
"ENST00000557290.1",3.78e-10,"ENST00000557290.1","ENST00000557290",3.78e-10,"ENSG00000100567","PSMA3"
"ENST00000238633.6",3.78e-10,"ENST00000238633.6","ENST00000238633",3.78e-10,"ENSG00000119655","NPC2"
"ENST00000520498.1",3.82e-10,"ENST00000520498.1","ENST00000520498",3.82e-10,"ENSG00000120963","ZNF706"
"ENST00000356033.8",3.82e-10,"ENST00000356033.8","ENST00000356033",3.82e-10,"ENSG00000189159","JPT1"
"ENST00000518364.1",3.95e-10,"ENST00000518364.1","ENST00000518364",3.95e-10,"ENSG00000082515","MRPL22"
"ENST00000544599.5",3.95e-10,"ENST00000544599.5","ENST00000544599",3.95e-10,"ENSG00000155957","TMBIM4"
"ENST00000590618.1",4.16e-10,"ENST00000590618.1","ENST00000590618",4.16e-10,"ENSG00000126267","COX6B1"
"ENST00000367679.7",4.21e-10,"ENST00000367679.7","ENST00000367679",4.21e-10,"ENSG00000116161","CACYBP"
"ENST00000588599.5",4.32e-10,"ENST00000588599.5","ENST00000588599",4.32e-10,"ENSG00000125743","SNRPD2"
"ENST00000532400.1",4.41e-10,"ENST00000532400.1","ENST00000532400",4.41e-10,"ENSG00000104529","EEF1D"
"ENST00000581913.5",4.47e-10,"ENST00000581913.5","ENST00000581913",4.47e-10,"ENSG00000175061","SNHG29"
"ENST00000567057.5",4.51e-10,"ENST00000567057.5","ENST00000567057",4.51e-10,"ENSG00000198931","APRT"
"ENST00000484998.5",4.6e-10,"ENST00000484998.5","ENST00000484998",4.6e-10,"ENSG00000101361","NOP56"
"ENST00000591716.6",4.61e-10,"ENST00000591716.6","ENST00000591716",4.61e-10,"ENSG00000089327","FXYD5"
"ENST00000477206.5",4.86e-10,"ENST00000477206.5","ENST00000477206",4.86e-10,"ENSG00000143774","GUK1"
"ENST00000517881.1",4.87e-10,"ENST00000517881.1","ENST00000517881",4.87e-10,"ENSG00000171530","TBCA"
"ENST00000675134.1",4.9e-10,"ENST00000675134.1","ENST00000675134",4.9e-10,"ENSG00000106211","HSPB1"
"ENST00000652380.1",4.94e-10,"ENST00000652380.1","ENST00000652380",4.94e-10,"ENSG00000241837","ATP5PO"
"ENST00000497322.1",4.94e-10,"ENST00000497322.1","ENST00000497322",4.94e-10,"ENSG00000197958","RPL12"
"ENST00000645521.1",5.06e-10,"ENST00000645521.1","ENST00000645521",5.06e-10,"ENSG00000285246","NEDD8"
"ENST00000569148.1",5.2e-10,"ENST00000569148.1","ENST00000569148",5.2e-10,"ENSG00000140990","NDUFB10"
"ENST00000484321.5",5.2e-10,"ENST00000484321.5","ENST00000484321",5.2e-10,"ENSG00000235650","RPS18"
"ENST00000551094.5",5.3e-10,"ENST00000551094.5","ENST00000551094",5.3e-10,"ENSG00000134285","FKBP11"
"ENST00000550171.5",5.58e-10,"ENST00000550171.5","ENST00000550171",5.58e-10,"ENSG00000111481","COPZ1"
"ENST00000524810.5",5.6e-10,"ENST00000524810.5","ENST00000524810",5.6e-10,"ENSG00000110717","NDUFS8"
"ENST00000392217.3",5.6e-10,"ENST00000392217.3","ENST00000392217",5.6e-10,"ENSG00000089327","FXYD5"
"ENST00000465573.1",5.61e-10,"ENST00000465573.1","ENST00000465573",5.61e-10,"ENSG00000115541","HSPE1"
"ENST00000614624.4",5.68e-10,"ENST00000614624.4","ENST00000614624",5.68e-10,"ENSG00000178982","EIF3K"
"ENST00000633512.1",5.71e-10,"ENST00000633512.1","ENST00000633512",5.71e-10,"ENSG00000273686","B2M"
"ENST00000506855.1",6.05e-10,"ENST00000506855.1","ENST00000506855",6.05e-10,"ENSG00000159199","ATP5MC1"
"ENST00000511075.5",6.21e-10,"ENST00000511075.5","ENST00000511075",6.21e-10,"ENSG00000163682","RPL9"
"ENST00000616442.4",6.29e-10,"ENST00000616442.4","ENST00000616442",6.29e-10,"ENSG00000150316","CWC15"
"ENST00000530225.5",6.61e-10,"ENST00000530225.5","ENST00000530225",6.61e-10,"ENSG00000140988","RPS2"
"ENST00000426763.3",6.75e-10,"ENST00000426763.3","ENST00000426763",6.75e-10,"ENSG00000108107","RPL28"
"ENST00000290299.7",6.78e-10,"ENST00000290299.7","ENST00000290299",6.78e-10,"ENSG00000241837","ATP5PO"
"ENST00000634230.1",6.89e-10,"ENST00000634230.1","ENST00000634230",6.89e-10,"ENSG00000282986","EIF3K"
"ENST00000447184.6",7.28e-10,"ENST00000447184.6","ENST00000447184",7.28e-10,"ENSG00000117450","PRDX1"
"ENST00000563744.1",7.51e-10,"ENST00000563744.1","ENST00000563744",7.51e-10,"ENSG00000034713","GABARAPL2"
"ENST00000441429.1",8.28e-10,"ENST00000441429.1","ENST00000441429",8.28e-10,"ENSG00000170889","RPS9"
"ENST00000675191.1",8.42e-10,"ENST00000675191.1","ENST00000675191",8.42e-10,"ENSG00000226950","DANCR"
"ENST00000409800.5",9.35e-10,"ENST00000409800.5","ENST00000409800",9.35e-10,"ENSG00000180398","MCFD2"
"ENST00000677356.1",9.61e-10,"ENST00000677356.1","ENST00000677356",9.61e-10,"ENSG00000171960","PPIH"
"ENST00000602858.5",1.03e-09,"ENST00000602858.5","ENST00000602858",1.03e-09,"ENSG00000134248","LAMTOR5"
"ENST00000472321.1",1.05e-09,"ENST00000472321.1","ENST00000472321",1.05e-09,"ENSG00000100097","LGALS1"
"ENST00000647451.1",1.06e-09,"ENST00000647451.1","ENST00000647451",1.06e-09,"ENSG00000284916","PSME1"
"ENST00000549562.1",1.07e-09,"ENST00000549562.1","ENST00000549562",1.07e-09,"ENSG00000089009","RPL6"
"ENST00000652678.1",1.1e-09,"ENST00000652678.1","ENST00000652678",1.1e-09,"ENSG00000085063","CD59"
"ENST00000677543.1",1.1e-09,"ENST00000677543.1","ENST00000677543",1.1e-09,"ENSG00000136888","ATP6V1G1"
"ENST00000215909.10",1.11e-09,"ENST00000215909.10","ENST00000215909",1.11e-09,"ENSG00000100097","LGALS1"
"ENST00000005257.7",1.12e-09,"ENST00000005257.7","ENST00000005257",1.12e-09,"ENSG00000006451","RALA"
"ENST00000549370.5",1.13e-09,"ENST00000549370.5","ENST00000549370",1.13e-09,"ENSG00000063177","RPL18"
"ENST00000612838.4",1.18e-09,"ENST00000612838.4","ENST00000612838",1.18e-09,"ENSG00000275214","IFI27"
"ENST00000368439.5",1.19e-09,"ENST00000368439.5","ENST00000368439",1.19e-09,"ENSG00000173207","CKS1B"
"ENST00000585362.7",1.2e-09,"ENST00000585362.7","ENST00000585362",1.2e-09,"ENSG00000167468","GPX4"
"ENST00000588830.1",1.24e-09,"ENST00000588830.1","ENST00000588830",1.24e-09,"ENSG00000131469","RPL27"
"ENST00000645849.1",1.24e-09,"ENST00000645849.1","ENST00000645849",1.24e-09,"ENSG00000284889","PSME2"
"ENST00000393366.7",1.27e-09,"ENST00000393366.7","ENST00000393366",1.27e-09,"ENSG00000159199","ATP5MC1"
"ENST00000549533.1",1.35e-09,"ENST00000549533.1","ENST00000549533",1.35e-09,"ENSG00000063177","RPL18"
"ENST00000639289.1",1.35e-09,"ENST00000639289.1","ENST00000639289",1.35e-09,"ENSG00000283771","TMEM256"
"ENST00000575427.1",1.43e-09,"ENST00000575427.1","ENST00000575427",1.43e-09,"ENSG00000205544","TMEM256"
"ENST00000550765.6",1.45e-09,"ENST00000550765.6","ENST00000550765",1.45e-09,"ENSG00000134285","FKBP11"
"ENST00000708942.1",1.49e-09,"ENST00000708942.1","ENST00000708942",1.49e-09,"ENSG00000291834","PFDN5"
"ENST00000553100.1",1.52e-09,"ENST00000553100.1","ENST00000553100",1.52e-09,"ENSG00000135441","BLOC1S1"
"ENST00000580755.1",1.53e-09,"ENST00000580755.1","ENST00000580755",1.53e-09,"ENSG00000198242","RPL23A"
"ENST00000518696.5",1.68e-09,"ENST00000518696.5","ENST00000518696",1.68e-09,"ENSG00000172172","MRPL13"
"ENST00000502658.1",1.73e-09,"ENST00000502658.1","ENST00000502658",1.73e-09,"ENSG00000164182","NDUFAF2"
"ENST00000488388.2",1.73e-09,"ENST00000488388.2","ENST00000488388",1.73e-09,"ENSG00000122873","CISD1"
"ENST00000311212.9",1.76e-09,"ENST00000311212.9","ENST00000311212",1.76e-09,"ENSG00000120963","ZNF706"
"ENST00000496292.5",1.77e-09,"ENST00000496292.5","ENST00000496292",1.77e-09,"ENSG00000168374","ARF4"
"ENST00000585722.1",1.78e-09,"ENST00000585722.1","ENST00000585722",1.78e-09,"ENSG00000105518","TMEM205"
"ENST00000586218.5",1.8e-09,"ENST00000586218.5","ENST00000586218",1.8e-09,"ENSG00000105518","TMEM205"
"ENST00000673721.1",1.89e-09,"ENST00000673721.1","ENST00000673721",1.89e-09,"ENSG00000203875","SNHG5"
"ENST00000636618.1",1.94e-09,"ENST00000636618.1","ENST00000636618",1.94e-09,"ENSG00000186184","POLR1D"
"ENST00000553965.1",2.03e-09,"ENST00000553965.1","ENST00000553965",2.03e-09,"ENSG00000172590","MRPL52"
"ENST00000630342.1",2.07e-09,"ENST00000630342.1","ENST00000630342",2.07e-09,"ENSG00000275214","IFI27"
"ENST00000614486.4",2.14e-09,"ENST00000614486.4","ENST00000614486",2.14e-09,"ENSG00000142507","PSMB6"
"ENST00000486668.5",2.16e-09,"ENST00000486668.5","ENST00000486668",2.16e-09,"ENSG00000143774","GUK1"
"ENST00000371657.9",2.2e-09,"ENST00000371657.9","ENST00000371657",2.2e-09,"ENSG00000244687","UBE2V1"
"ENST00000553066.5",2.26e-09,"ENST00000553066.5","ENST00000553066",2.26e-09,"ENSG00000196465","MYL6B"
"ENST00000584514.5",2.27e-09,"ENST00000584514.5","ENST00000584514",2.27e-09,"ENSG00000169689","CENPX"
"ENST00000270586.8",2.29e-09,"ENST00000270586.8","ENST00000270586",2.29e-09,"ENSG00000142507","PSMB6"
"ENST00000479153.1",2.3e-09,"ENST00000479153.1","ENST00000479153",2.3e-09,"ENSG00000184900","SUMO3"
"ENST00000548725.5",2.31e-09,"ENST00000548725.5","ENST00000548725",2.31e-09,"ENSG00000092841","MYL6"
"ENST00000530666.1",2.37e-09,"ENST00000530666.1","ENST00000530666",2.37e-09,"ENSG00000177156","TALDO1"
"ENST00000680011.1",2.37e-09,"ENST00000680011.1","ENST00000680011",2.37e-09,"ENSG00000185201","IFITM2"
"ENST00000552067.5",2.47e-09,"ENST00000552067.5","ENST00000552067",2.47e-09,"ENSG00000135404","CD63"
"ENST00000709236.1",2.68e-09,"ENST00000709236.1","ENST00000709236",2.68e-09,"ENSG00000291930","NDUFB10"
"ENST00000524204.1",2.73e-09,"ENST00000524204.1","ENST00000524204",2.73e-09,"ENSG00000181163","NPM1"
"ENST00000530721.5",2.77e-09,"ENST00000530721.5","ENST00000530721",2.77e-09,"ENSG00000149273","RPS3"
"ENST00000540871.5",2.84e-09,"ENST00000540871.5","ENST00000540871",2.84e-09,"ENSG00000100902","PSMA6"
"ENST00000460985.1",2.85e-09,"ENST00000460985.1","ENST00000460985",2.85e-09,"ENSG00000112695","COX7A2"
"ENST00000463406.5",2.87e-09,"ENST00000463406.5","ENST00000463406",2.87e-09,"ENSG00000214253","FIS1"
"ENST00000396828.8",3.01e-09,"ENST00000396828.8","ENST00000396828",3.01e-09,"ENSG00000129559","NEDD8"
"ENST00000366860.9",3.07e-09,"ENST00000366860.9","ENST00000366860",3.07e-09,"ENSG00000143771","CNIH4"
"ENST00000549759.2",3.2e-09,"ENST00000549759.2","ENST00000549759",3.2e-09,"ENSG00000123349","PFDN5"
"ENST00000463074.2",3.27e-09,"ENST00000463074.2","ENST00000463074",3.27e-09,"ENSG00000135930","EIF4E2"
"ENST00000633361.1",3.27e-09,"ENST00000633361.1","ENST00000633361",3.27e-09,"ENSG00000275903","PSMB3"
"ENST00000472966.1",3.28e-09,"ENST00000472966.1","ENST00000472966",3.28e-09,"ENSG00000171863","RPS7"
"ENST00000487970.1",3.38e-09,"ENST00000487970.1","ENST00000487970",3.38e-09,"ENSG00000223367","RPS18"
"ENST00000530170.1",3.5e-09,"ENST00000530170.1","ENST00000530170",3.5e-09,"ENSG00000149273","RPS3"
"ENST00000550645.5",3.57e-09,"ENST00000550645.5","ENST00000550645",3.57e-09,"ENSG00000063177","RPL18"
"ENST00000503641.5",3.62e-09,"ENST00000503641.5","ENST00000503641",3.62e-09,"ENSG00000159199","ATP5MC1"
"ENST00000447866.5",3.66e-09,"ENST00000447866.5","ENST00000447866",3.66e-09,"ENSG00000160752","FDPS"
"ENST00000607357.2",3.66e-09,"ENST00000607357.2","ENST00000607357",3.66e-09,"ENSG00000172428","COPS9"
"ENST00000473578.5",3.67e-09,"ENST00000473578.5","ENST00000473578",3.67e-09,"ENSG00000171735","CAMTA1"
"ENST00000637452.2",3.75e-09,"ENST00000637452.2","ENST00000637452",3.75e-09,"ENSG00000283391","EEF1B2"
"ENST00000548117.5",3.78e-09,"ENST00000548117.5","ENST00000548117",3.78e-09,"ENSG00000135404","CD63"
"ENST00000546847.5",3.78e-09,"ENST00000546847.5","ENST00000546847",3.78e-09,"ENSG00000134285","FKBP11"
"ENST00000507088.5",3.91e-09,"ENST00000507088.5","ENST00000507088",3.91e-09,"ENSG00000108826","MRPL27"
"ENST00000550184.5",4.04e-09,"ENST00000550184.5","ENST00000550184",4.04e-09,"ENSG00000092841","MYL6"
"ENST00000582911.6",4.04e-09,"ENST00000582911.6","ENST00000582911",4.04e-09,"ENSG00000175061","SNHG29"
"ENST00000648702.1",4.18e-09,"ENST00000648702.1","ENST00000648702",4.18e-09,"ENSG00000173436","MICOS10"
"ENST00000396858.5",4.3e-09,"ENST00000396858.5","ENST00000396858",4.3e-09,"ENSG00000111640","GAPDH"
"ENST00000592760.1",4.54e-09,"ENST00000592760.1","ENST00000592760",4.54e-09,"ENSG00000104979","C19orf53"
"ENST00000519690.1",4.56e-09,"ENST00000519690.1","ENST00000519690",4.56e-09,"ENSG00000164587","RPS14"
"ENST00000653147.1",4.64e-09,"ENST00000653147.1","ENST00000653147",4.64e-09,"ENSG00000226950","DANCR"
"ENST00000676262.1",4.64e-09,"ENST00000676262.1","ENST00000676262",4.64e-09,"ENSG00000226950","DANCR"
"ENST00000547703.5",4.87e-09,"ENST00000547703.5","ENST00000547703",4.87e-09,"ENSG00000092841","MYL6"
"ENST00000598273.5",4.88e-09,"ENST00000598273.5","ENST00000598273",4.88e-09,"ENSG00000178980","SELENOW"
"ENST00000466588.5",5.1e-09,"ENST00000466588.5","ENST00000466588",5.1e-09,"ENSG00000111640","GAPDH"
"ENST00000311521.8",5.15e-09,"ENST00000311521.8","ENST00000311521",5.15e-09,"ENSG00000155368","DBI"
"ENST00000444761.6",5.17e-09,"ENST00000444761.6","ENST00000444761",5.17e-09,"ENSG00000180398","MCFD2"
"ENST00000489785.5",5.23e-09,"ENST00000489785.5","ENST00000489785",5.23e-09,"ENSG00000122873","CISD1"
"ENST00000550846.5",5.27e-09,"ENST00000550846.5","ENST00000550846",5.27e-09,"ENSG00000123349","PFDN5"
"ENST00000381724.8",5.37e-09,"ENST00000381724.8","ENST00000381724",5.37e-09,"ENSG00000088832","FKBP1A"
"ENST00000616082.3",5.54e-09,"ENST00000616082.3","ENST00000616082",5.54e-09,"ENSG00000274646","RPS9"
"ENST00000669413.1",5.8e-09,"ENST00000669413.1","ENST00000669413",5.8e-09,"ENSG00000203875","SNHG5"
"ENST00000708938.1",5.81e-09,"ENST00000708938.1","ENST00000708938",5.81e-09,"ENSG00000291834","PFDN5"
"ENST00000506797.5",5.83e-09,"ENST00000506797.5","ENST00000506797",5.83e-09,"ENSG00000085871","MGST2"
"ENST00000628004.1",6.02e-09,"ENST00000628004.1","ENST00000628004",6.02e-09,"ENSG00000277365","NDUFA6"
"ENST00000395159.7",6.06e-09,"ENST00000395159.7","ENST00000395159",6.06e-09,"ENSG00000100575","TIMM9"
"ENST00000503040.5",6.13e-09,"ENST00000503040.5","ENST00000503040",6.13e-09,"ENSG00000163682","RPL9"
"ENST00000528439.5",6.17e-09,"ENST00000528439.5","ENST00000528439",6.17e-09,"ENSG00000149273","RPS3"
"ENST00000549989.1",6.38e-09,"ENST00000549989.1","ENST00000549989",6.38e-09,"ENSG00000088986","DYNLL1"
"ENST00000520040.5",6.38e-09,"ENST00000520040.5","ENST00000520040",6.38e-09,"ENSG00000082515","MRPL22"
"ENST00000592786.5",6.44e-09,"ENST00000592786.5","ENST00000592786",6.44e-09,"ENSG00000105185","PDCD5"
"ENST00000635728.1",6.53e-09,"ENST00000635728.1","ENST00000635728",6.53e-09,"ENSG00000283391","EEF1B2"
"ENST00000482846.1",6.54e-09,"ENST00000482846.1","ENST00000482846",6.54e-09,"ENSG00000185088","RPS27L"
"ENST00000621160.5",6.62e-09,"ENST00000621160.5","ENST00000621160",6.62e-09,"ENSG00000165949","IFI27"
"ENST00000533181.1",6.65e-09,"ENST00000533181.1","ENST00000533181",6.65e-09,"ENSG00000284969",""
"ENST00000467789.5",6.71e-09,"ENST00000467789.5","ENST00000467789",6.71e-09,"ENSG00000114850","SSR3"
"ENST00000584441.5",6.74e-09,"ENST00000584441.5","ENST00000584441",6.74e-09,"ENSG00000161970","RPL26"
"ENST00000293831.13",6.75e-09,"ENST00000293831.13","ENST00000293831",6.75e-09,"ENSG00000161960","EIF4A1"
"ENST00000495843.1",6.77e-09,"ENST00000495843.1","ENST00000495843",6.77e-09,"ENSG00000143947","RPS27A"
"ENST00000591776.5",7.03e-09,"ENST00000591776.5","ENST00000591776",7.03e-09,"ENSG00000173812","EIF1"
"ENST00000527577.5",7.05e-09,"ENST00000527577.5","ENST00000527577",7.05e-09,"ENSG00000085063","CD59"
"ENST00000555619.6",7.05e-09,"ENST00000555619.6","ENST00000555619",7.05e-09,"ENSG00000119655","NPC2"
"ENST00000567391.5",7.05e-09,"ENST00000567391.5","ENST00000567391",7.05e-09,"ENSG00000198931","APRT"
"ENST00000306388.10",7.21e-09,"ENST00000306388.10","ENST00000306388",7.21e-09,"ENSG00000171530","TBCA"
"ENST00000521734.1",7.28e-09,"ENST00000521734.1","ENST00000521734",7.28e-09,"ENSG00000170323","FABP4"
"ENST00000478196.6",7.3e-09,"ENST00000478196.6","ENST00000478196",7.3e-09,"ENSG00000143947","RPS27A"
"ENST00000554961.5",7.65e-09,"ENST00000554961.5","ENST00000554961",7.65e-09,"ENSG00000100902","PSMA6"
"ENST00000479784.1",7.71e-09,"ENST00000479784.1","ENST00000479784",7.71e-09,"ENSG00000064989","CALCRL"
"ENST00000487106.5",8.13e-09,"ENST00000487106.5","ENST00000487106",8.13e-09,"ENSG00000116586","LAMTOR2"
"ENST00000332680.8",8.51e-09,"ENST00000332680.8","ENST00000332680",8.51e-09,"ENSG00000182718","ANXA2"
"ENST00000374450.8",8.72e-09,"ENST00000374450.8","ENST00000374450",8.72e-09,"ENSG00000242372","EIF6"
"ENST00000373626.4",8.79e-09,"ENST00000373626.4","ENST00000373626",8.79e-09,"ENSG00000198034","RPS4X"
"ENST00000413995.1",8.85e-09,"ENST00000413995.1","ENST00000413995",8.85e-09,"ENSG00000106591","MRPL32"
"ENST00000709369.1",8.89e-09,"ENST00000709369.1","ENST00000709369",8.89e-09,"ENSG00000291964","CENPN"
"ENST00000709370.1",8.89e-09,"ENST00000709370.1","ENST00000709370",8.89e-09,"ENSG00000291964","CENPN"
"ENST00000409711.1",9.25e-09,"ENST00000409711.1","ENST00000409711",9.25e-09,"ENSG00000071082","RPL31"
"ENST00000645119.1",9.86e-09,"ENST00000645119.1","ENST00000645119",9.86e-09,"ENSG00000122406","RPL5"
"ENST00000477733.1",1.04e-08,"ENST00000477733.1","ENST00000477733",1.04e-08,"ENSG00000096150","RPS18"
"ENST00000644040.1",1.04e-08,"ENST00000644040.1","ENST00000644040",1.04e-08,"ENSG00000222041","CYTOR"
"ENST00000347941.4",1.04e-08,"ENST00000347941.4","ENST00000347941",1.04e-08,"ENSG00000126432","PRDX5"
"ENST00000622405.4",1.11e-08,"ENST00000622405.4","ENST00000622405",1.11e-08,"ENSG00000100902","PSMA6"
"ENST00000551018.5",1.12e-08,"ENST00000551018.5","ENST00000551018",1.12e-08,"ENSG00000123349","PFDN5"
"ENST00000467591.1",1.14e-08,"ENST00000467591.1","ENST00000467591",1.14e-08,"ENSG00000084207","GSTP1"
"ENST00000511787.1",1.14e-08,"ENST00000511787.1","ENST00000511787",1.14e-08,"ENSG00000145592","RPL37"
"ENST00000632867.1",1.18e-08,"ENST00000632867.1","ENST00000632867",1.18e-08,"ENSG00000273686","B2M"
"ENST00000479802.1",1.18e-08,"ENST00000479802.1","ENST00000479802",1.18e-08,"ENSG00000231500","RPS18"
"ENST00000547986.5",1.28e-08,"ENST00000547986.5","ENST00000547986",1.28e-08,"ENSG00000184752","NDUFA12"
"ENST00000480528.1",1.29e-08,"ENST00000480528.1","ENST00000480528",1.29e-08,"ENSG00000165629","ATP5F1C"
"ENST00000302503.8",1.33e-08,"ENST00000302503.8","ENST00000302503",1.33e-08,"ENSG00000109919","MTCH2"
"ENST00000526248.5",1.35e-08,"ENST00000526248.5","ENST00000526248",1.35e-08,"ENSG00000149273","RPS3"
"ENST00000342071.5",1.37e-08,"ENST00000342071.5","ENST00000342071",1.37e-08,"ENSG00000055950","MRPL43"
"ENST00000606961.1",1.37e-08,"ENST00000606961.1","ENST00000606961",1.37e-08,"ENSG00000137288","UQCC2"
"ENST00000561048.2",1.38e-08,"ENST00000561048.2","ENST00000561048",1.38e-08,"ENSG00000166794","PPIB"
"ENST00000542222.1",1.38e-08,"ENST00000542222.1","ENST00000542222",1.38e-08,"ENSG00000111678","C12orf57"
"ENST00000299572.9",1.41e-08,"ENST00000299572.9","ENST00000299572",1.41e-08,"ENSG00000166451","CENPN"
"ENST00000305850.10",1.41e-08,"ENST00000305850.10","ENST00000305850",1.41e-08,"ENSG00000166451","CENPN"
"ENST00000697754.1",1.43e-08,"ENST00000697754.1","ENST00000697754",1.43e-08,"ENSG00000168028","RPSA"
"ENST00000243040.10",1.44e-08,"ENST00000243040.10","ENST00000243040",1.44e-08,"ENSG00000123349","PFDN5"
"ENST00000569436.7",1.45e-08,"ENST00000569436.7","ENST00000569436",1.45e-08,"ENSG00000102898","NUTF2"
"ENST00000553213.2",1.45e-08,"ENST00000553213.2","ENST00000553213",1.45e-08,"ENSG00000089009","RPL6"
"ENST00000419276.1",1.46e-08,"ENST00000419276.1","ENST00000419276",1.46e-08,"ENSG00000071082","RPL31"
"ENST00000236957.9",1.46e-08,"ENST00000236957.9","ENST00000236957",1.46e-08,"ENSG00000114942","EEF1B2"
"ENST00000563749.1",1.46e-08,"ENST00000563749.1","ENST00000563749",1.46e-08,"ENSG00000167526","RPL13"
"ENST00000607484.6",1.46e-08,"ENST00000607484.6","ENST00000607484",1.46e-08,"ENSG00000137288","UQCC2"
"ENST00000366612.1",1.5e-08,"ENST00000366612.1","ENST00000366612",1.5e-08,"ENSG00000168275","COA6"
"ENST00000470852.5",1.53e-08,"ENST00000470852.5","ENST00000470852",1.53e-08,"ENSG00000096150","RPS18"
"ENST00000508595.6",1.56e-08,"ENST00000508595.6","ENST00000508595",1.56e-08,"ENSG00000163682","RPL9"
"ENST00000562879.5",1.57e-08,"ENST00000562879.5","ENST00000562879",1.57e-08,"ENSG00000167526","RPL13"
"ENST00000392508.2",1.58e-08,"ENST00000392508.2","ENST00000392508",1.58e-08,"ENSG00000088986","DYNLL1"
"ENST00000558131.1",1.59e-08,"ENST00000558131.1","ENST00000558131",1.59e-08,"ENSG00000108107","RPL28"
"ENST00000558134.5",1.62e-08,"ENST00000558134.5","ENST00000558134",1.62e-08,"ENSG00000140612","SEC11A"
"ENST00000519059.5",1.64e-08,"ENST00000519059.5","ENST00000519059",1.64e-08,"ENSG00000082515","MRPL22"
"ENST00000656825.1",1.66e-08,"ENST00000656825.1","ENST00000656825",1.66e-08,"ENSG00000070831","CDC42"
"ENST00000470924.5",1.67e-08,"ENST00000470924.5","ENST00000470924",1.67e-08,"ENSG00000189159","JPT1"
"ENST00000524628.1",1.68e-08,"ENST00000524628.1","ENST00000524628",1.68e-08,"ENSG00000175334","BANF1"
"ENST00000548556.1",1.69e-08,"ENST00000548556.1","ENST00000548556",1.69e-08,"ENSG00000135441","BLOC1S1"
"ENST00000531282.1",1.71e-08,"ENST00000531282.1","ENST00000531282",1.71e-08,"ENSG00000110717","NDUFS8"
"ENST00000563655.5",1.72e-08,"ENST00000563655.5","ENST00000563655",1.72e-08,"ENSG00000198931","APRT"
"ENST00000610354.5",1.75e-08,"ENST00000610354.5","ENST00000610354",1.75e-08,"ENSG00000010278","CD9"
"ENST00000633728.1",1.79e-08,"ENST00000633728.1","ENST00000633728",1.79e-08,"ENSG00000273594","EEF1D"
"ENST00000432899.5",1.81e-08,"ENST00000432899.5","ENST00000432899",1.81e-08,"ENSG00000143933","CALM2"
"ENST00000357790.5",1.87e-08,"ENST00000357790.5","ENST00000357790",1.87e-08,"ENSG00000137818","RPLP1"
"ENST00000593274.1",1.88e-08,"ENST00000593274.1","ENST00000593274",1.88e-08,"ENSG00000104979","C19orf53"
"ENST00000423817.7",1.93e-08,"ENST00000423817.7","ENST00000423817",1.93e-08,"ENSG00000089327","FXYD5"
"ENST00000643707.1",1.93e-08,"ENST00000643707.1","ENST00000643707",1.93e-08,"ENSG00000174748","RPL15"
"ENST00000677452.1",1.93e-08,"ENST00000677452.1","ENST00000677452",1.93e-08,"ENSG00000136888","ATP6V1G1"
"ENST00000552455.5",1.94e-08,"ENST00000552455.5","ENST00000552455",1.94e-08,"ENSG00000089009","RPL6"
"ENST00000246337.9",1.95e-08,"ENST00000246337.9","ENST00000246337",1.95e-08,"ENSG00000126088","UROD"
"ENST00000378513.7",1.96e-08,"ENST00000378513.7","ENST00000378513",1.96e-08,"ENSG00000157916","RER1"
"ENST00000708937.1",1.96e-08,"ENST00000708937.1","ENST00000708937",1.96e-08,"ENSG00000291834","PFDN5"
"ENST00000538834.6",2e-08,"ENST00000538834.6","ENST00000538834",2e-08,"ENSG00000010278","CD9"
"ENST00000369098.3",2e-08,"ENST00000369098.3","ENST00000369098",2e-08,"ENSG00000118292","C1orf54"
"ENST00000451583.1",2.05e-08,"ENST00000451583.1","ENST00000451583",2.05e-08,"ENSG00000204272","NBDY"
"ENST00000541090.1",2.08e-08,"ENST00000541090.1","ENST00000541090",2.08e-08,"ENSG00000166741","NNMT"
"ENST00000645138.1",2.19e-08,"ENST00000645138.1","ENST00000645138",2.19e-08,"ENSG00000222041","CYTOR"
"ENST00000400175.9",2.19e-08,"ENST00000400175.9","ENST00000400175",2.19e-08,"ENSG00000118680","MYL12B"
"ENST00000581193.5",2.19e-08,"ENST00000581193.5","ENST00000581193",2.19e-08,"ENSG00000118680","MYL12B"
"ENST00000648965.1",2.19e-08,"ENST00000648965.1","ENST00000648965",2.19e-08,"ENSG00000118680","MYL12B"
"ENST00000688584.1",2.21e-08,"ENST00000688584.1","ENST00000688584",2.21e-08,"ENSG00000154582","ELOC"
"ENST00000681304.1",2.27e-08,"ENST00000681304.1","ENST00000681304",2.27e-08,"ENSG00000142089","IFITM3"
"ENST00000571570.5",2.31e-08,"ENST00000571570.5","ENST00000571570",2.31e-08,"ENSG00000141552","ANAPC11"
